id,name,imdb_rating
210,True Grit,7.7
211,A Beautiful Mind,8.2
212,The Help,8.1
213,3 Men and a Baby,5.9
214,Gone Girl,8.2
215,Kung Fu Panda 2,7.3
216,Hannibal,6.7
217,Catch Me If You Can,8.0
218,Big Daddy,6.4
219,Se7en,8.6
220,Seven,6.1
221,"The Good, the Bad and the Ugly",
222,Dawn of the Dead,5.2
223,Shawn of the Dead,
224,Star Wars: The Force Awakens,8.1
225,Star Wars: The Last Jedi,
226,The Shining,8.4
227,The Devil and Daniel Johnston,8.0
228,Ali Wong: Baby Cobra,
229,The Big Sick,
230,Deadpool,
